,project_code,province,district,district_id,sector,sector_id,cell,cell_id,village,village_id,name,type,stage,sub_stage,Individuals_directly_served,span,lat,long,community_served_1,community_served_2,community_served_3,community_served_4,community_served_5,communities_served,form,case_safe_id,opportunity_id,country
0,1014107,Western Province,Rusizi,36,Giheke,3605,Gakomeye,360502,Buzi,36050201,Buzi,Suspended,Rejected,Technical,0,0,-2.42056,28.9662,Buzi,Kabuga,Kagarama,Gacyamo,Gasheke,"Buzi, Kabuga, Kagarama, Gacyamo, Gasheke",Project Assessment - 2018.10.29,a1if1000002e51bAAA,006f100000d1fk1,Rwanda
1,1014106,Western Province,Rusizi,36,Giheke,3605,Gakomeye,360502,Buzi,36050201,Kamigisha,Suspended,Rejected,Technical,0,0,-2.42486,28.95726,Kabuga,Buzi,Gacyamo - Gasheke,Kagarama,Kanoga,"Kabuga, Buzi, Gacyamo - Gasheke, Kagarama, Kanoga",Project Assessment - 2018.10.29,a1if1000002e51WAAQ,006f100000d1fjw,Rwanda
2,1007651,Northern Province,Rulindo,41,Buyoga,4104,Gahororo,410403,Gipfundo,41040304,Gipfundo,Suspended,Rejected,Technical,0,8,-1.72053,30.08124,Gapfundo,Rusabira ( Gicumbi),Merezo,Minanire,Karutongo,"Gapfundo, Rusabira ( Gicumbi), Merezo, Minanire, Karutongo",Project Assessment - 2018.8.11,a1if10000025nz8AAA,006f100000a86I3,Rwanda
3,1012493,Northern Province,Gicumbi,45,Kageyo,4506,Kabuga-Gatobotobo?,?,?,?,Nyarubande,Other,Rejected,?,0,0,-1.65595,30.078840000000003,?,?,?,?,?,,Project Assessment - 2018.8.11,a1if10000025nzDAAQ,006f100000cPpL8,Rwanda
4,1014318,Southern Province,Kamonyi,28,Kayenzi,2803,Kirwa,280304,Gisizi,28030402,Gisizi,Suspended,Identified,Requested,0,0,-1.870868,29.877686,Gisizi,Nyabitare,?,?,?,"Gisizi, Nyabitare",Project Assessment - 2018.11.15,a1if1000002gMwRAAU,006f100000eescb,Rwanda
5,1014319,Southern Province,Kamonyi,28,Kayenzi,2803,Kirwa,280304,Ruheka,28030405,Ruheka,Suspended,Rejected,Technical,0,0,-1.883957,29.850548,Ruheka,Kabana,?,?,?,"Ruheka, Kabana",Project Assessment - 2018.11.15,a1if1000002gMwqAAE,006f100000eescl,Rwanda
6,1014327,Southern Province,Kamonyi,28,Ngamba,2807,Kabuga,280701,Raro,28070106,Raro,?,Rejected,Technical,0,0,-1.896261,29.951448,Raro,Kamuhoza( Runda sector),?,?,?,"Raro, Kamuhoza( Runda sector)",Project Assessment - 2018.11.15,a1if1000002gMxUAAU,006f100000eesdZ,Rwanda
7,1014324,Southern Province,Kamonyi,28,Karama,2802,Bitare,280201,Kinkeri,28020104,Kinkeri,?,Rejected,Technical,0,0,-1.977729,29.850108,Kinkeri( karama sector ),Musambira sector,?,?,?,"Kinkeri( karama sector ), Musambira sector",Project Assessment - 2018.11.15,a1if1000002gMxFAAU,006f100000eesdK,Rwanda
8,1014321,Southern Province,Kamonyi,28,Karama,2802,Bunyonga,280202,Nyenyeri,28020203,Nyenyeri,Suspension,Rejected,Technical,0,0,-1.939737,29.843622,Nyenyeri,Bunyonga,Kavumu,?,?,"Nyenyeri, Bunyonga, Kavumu",Project Assessment - 2018.11.15,a1if1000002gMx0AAE,006f100000eescv,Rwanda
9,1014325,Southern Province,Kamonyi,28,Gacurabwenge,2801,Gihinga,280101,Karama,28010103,Karama,Suspended,Rejected,Technical,0,0,-1.980126,29.905502,Karama,Kagarama,Ryabitana,Nyarunyinya,"Gahira cell, karama sector and kayenzi","Karama, Kagarama, Ryabitana, Nyarunyinya, Gahira cell, karama sector and kayenzi",Project Assessment - 2018.11.15,a1if1000002gMxKAAU,006f100000eesdP,Rwanda
10,1014323,Southern Province,Kamonyi,28,Karama,2802,Bunyonga,280202,Bunyonga,28020201,Bunyonga 2,?,Rejected,Technical,0,0,-1.939927,29.818313,Bunyonga,Kayumbo sector,?,?,?,"Bunyonga, Kayumbo sector",Project Assessment - 2018.11.15,a1if1000002gMxAAAU,006f100000eesdA,Rwanda
11,1014322,Southern Province,Kamonyi,28,Karama,2802,Bunyonga,280202,Bunyonga,28020201,Bunyonga 1,Suspended,Identified,Requested,0,54,-1.934919,29.819397,Bunyonga,Nyarurembo,Gaji,?,?,"Bunyonga, Nyarurembo, Gaji",Project Assessment - 2018.11.15,a1if1000002gMx5AAE,006f100000eesd5,Rwanda
12,1014320,Southern Province,Kamonyi,28,Kayenzi,2803,Bugarama,280301,Munyegera,28030102,Munyegera,Suspension,Rejected,Technical,0,0,-1.915772,29.866533,Bugarama cell,Kayonza cell,Mataba cell,Muganza cell,?,"Bugarama cell, Kayonza cell, Mataba cell, Muganza cell",Project Assessment - 2018.11.15,a1if1000002gMwvAAE,006f100000eescq,Rwanda
13,1014326,Southern Province,Kamonyi,28,Gacurabwenge,2801,Kigembe,280103,Rugobagoba,28010306,Rugobagoba,Suspension,Rejected,Technical,0,0,-2.001263,29.888983000000003,Rugobagoba,Rubona,?,?,?,"Rugobagoba, Rubona",Project Assessment - 2018.11.15,a1if1000002gMxPAAU,006f100000eesdU,Rwanda
14,1014328,Southern Province,Kamonyi,28,Gacurabwenge,2801,Gihinga,280101,Kagarama,28010101,Kagarama,Suspension,Rejected,Technical,0,0,-1.984548,29.931428000000004,Kagarama,Ryabitana,Karama,Rugogwe,Karehe,"Kagarama, Ryabitana, Karama, Rugogwe, Karehe",Project Assessment - 2018.11.16,a1if1000002gMyAAAU,006f100000eesiP,Rwanda
15,1014329,Southern Province,Kamonyi,28,Ngamba,2807,Kabuga,280701,Fukwe,28070102,Kabuga (Fukwe),Suspension,Rejected,Technical,0,0,-1.872181,29.92942,Kabuga cell,Kijabago cell,?,?,?,"Kabuga cell, Kijabago cell",Project Assessment - 2018.11.16,a1if1000002gMyFAAU,006f100000eesiU,Rwanda
16,1014331,Southern Province,Kamonyi,28,Rukoma,2811,Gishyeshye,281103,Rubare,28110305,Rubare,?,Rejected,Technical,0,0,-1.908306,29.881692,Rubare,?,?,?,?,Rubare,Project Assessment - 2018.11.16,a1if1000002gMyPAAU,006f100000eesie,Rwanda
17,1014330,Southern Province,Kamonyi,28,Rukoma,2811,Murehe,281104,Rushikiri,28110404,Rushikiri,Suspended,Identified,Requested,0,0,-1.937733,29.9489,Entire cell of Murehe,Kabagesera,Gihara,?,?,"Entire cell of Murehe, Kabagesera, Gihara",Project Assessment - 2018.11.16,a1if1000002gMyKAAU,006f100000eesiZ,Rwanda
18,1014594,Kigali,Gasabo,12,Rutunga,1215,Gasabo-Murdi?,?,?,?,Irayirayi,Suspension,Rejected,Technical,0,0,-1.7801900000000002,30.14043,Rutare,Rutunga,?,?,?,"Rutare, Rutunga",Project Assessment - 2018.11.30,a1if1000002hR2SAAU,006f100000efHAC,Rwanda
19,1014613,Kigali,Gasabo,12,Gikomero,1203,Kibara,120303,Kibobo,12030303,Kibobo-Rwingeyo,Suspended,Rejected,Technical,0,0,-1.864099,30.233290000000004,Kibobo,Gasharu,Nombe,Rwingeyo,Gasagara-Rugwiza,"Kibobo, Gasharu, Nombe, Rwingeyo, Gasagara-Rugwiza",Project Assessment - 2018.11.30,a1if1000002hRNLAA2,006f100000efHCD,Rwanda
20,1007653,Kigali,Gasabo,12,Shyorongi-Jari,1206,Bugaragara-Nkusi?,120604,?,?,Kiziranyenzi,Suspended,Rejected,Technical,0,32,-1.848168,29.991187,Nkusi,Bugaragara,Munyarwanda,?,?,"Nkusi, Bugaragara, Munyarwanda",Project Assessment - 2018.11.30,a1if1000002hROYAA2,006f100000a86I5,Rwanda
21,1013578,Southern Province,Gisagara,22,Gikonko-Musha,2210,Gasagara-Gatovu,221002,Ryamugunga,22100210,Akarukambira,Suspension,Rejected,Technical,0,0,-2.4855,29.84336,Akarukambira,Agasenyi,Ryamugunga,Agahabwa,?,"Akarukambira, Agasenyi, Ryamugunga, Agahabwa",Project Assessment - 2018.9.23,a1if1000002YQiWAAW,006f100000d7bAg,Rwanda
22,1014466,Eastern Province,Kirehe,55,Gahara,5501,Butezi,550101,Rwabiyombe,55010111,Rwabiyombi~ kijumbura 2,?,Rejected,Technical,0,0,-2.365716,30.542117,Butezi,?,?,?,?,Butezi,Project Assessment - 2018.11.24,a1if1000002h7GGAAY,006f100000ef6y2,Rwanda
23,1014605,Eastern Province,Rwamagana,51,Fumbwe,5101,Nyagasambu,510102,Rebero,51010203,Rebero,?,Rejected,Technical,0,0,-1.893193,30.280679,Rebero,?,?,?,?,Rebero,Project Assessment - 2018.11.30,a1if1000002hRF2AAM,006f100000efHBA,Rwanda
24,1014461,Eastern Province,Rwamagana,51,Kigabiro,5105,Sovu,510505,Rugobagoba,51050505,Rugobagoba,Suspension,Rejected,Technical,0,0,-2.02333,30.43209,Rugobagoba,Nyabishunzi,Cyaruhogo,Kabazeye,Kinganzwa,"Rugobagoba, Nyabishunzi, Cyaruhogo, Kabazeye, Kinganzwa",Project Assessment - 2018.11.24,a1if1000002h7FrAAI,006f100000ef6xd,Rwanda
25,1014470,Eastern Province,Kirehe,55,Mushikiri,5509,Rugarama,550903,Nyagatugunda,55090310,Tomi,?,Rejected,Technical,320,0,-2.1496,30.66541,Nyagatugunda,?,?,?,?,Nyagatugunda,Project Assessment - 2018.11.24,a1if1000002h7GaAAI,006f100000ef6yR,Rwanda
26,1014611,Eastern Province,Rwamagana,51,Gahengeri-Mwurire,5102,Kagezi-Ntunga,510202,Kabonero,51020202,Kabonero,Suspension,Rejected,Technical,0,0,-1.965611,30.337764,Kabonero,Akabuga,Gihumuza,Rugenge,Nkira-kadasumbwa,"Kabonero, Akabuga, Gihumuza, Rugenge, Nkira-kadasumbwa",Project Assessment - 2018.11.30,a1if1000002hRLAAA2,006f100000efHBo,Rwanda
27,1014616,Eastern Province,Rwamagana,51,Muyumbu,5110,Nyarukombe,511005,Marembo,51100505,Marembo,Suspension,Rejected,Technical,0,0,-1.970761,30.232989,Nyarukombe cell,?,?,?,?,Nyarukombe cell,Project Assessment - 2018.11.30,a1if1000002hRVAAA2,006f100000efHCc,Rwanda
28,1014604,Eastern Province,Gatsibo,53,Remera-Rugarama,5313,Bushobora-Bugarama?,531301,?,?,Kagarama2,?,Rejected,Technical,0,0,-1.7196349999999998,30.366374,Bushobora,Bugarama,?,?,?,"Bushobora, Bugarama",Project Assessment - 2018.11.30,a1if1000002hREYAA2,006f100000efHB5,Rwanda
