,Prov_ID,Province,Dist_ID,District,Sect_ID,Sector,Cell_ID,Cell,Vill_ID,Village,Status,FID
0,2,Southern Province,22,Gisagara,2205,Kigembe,220501,Agahabwa,22050101,Agahehe,Rural,1842
1,2,Southern Province,22,Gisagara,2205,Kigembe,220501,Agahabwa,22050102,Kabacuzi,Rural,1846
2,2,Southern Province,22,Gisagara,2205,Kigembe,220501,Agahabwa,22050103,Kamutozo,Rural,1854
3,2,Southern Province,22,Gisagara,2205,Kigembe,220501,Agahabwa,22050104,Kamweko,Rural,1866
4,2,Southern Province,22,Gisagara,2205,Kigembe,220501,Agahabwa,22050105,Nyamabuye,Rural,1873
5,2,Southern Province,22,Gisagara,2205,Kigembe,220501,Agahabwa,22050106,Ruhuha,Rural,1881
6,2,Southern Province,22,Gisagara,2205,Kigembe,220501,Agahabwa,22050107,Taba,Rural,1887
7,5,Eastern Province,53,Gatsibo,5307,Kiziguro,530701,Agakomeye,53070110,Nyungwe,Rural,12067
8,5,Eastern Province,53,Gatsibo,5307,Kiziguro,530701,Agakomeye,53070111,Ubutatu,Rural,12076
9,5,Eastern Province,53,Gatsibo,5307,Kiziguro,530701,Agakomeye,53070101,Agatovu,Rural,12319
10,5,Eastern Province,53,Gatsibo,5307,Kiziguro,530701,Agakomeye,53070102,Akabingo,Rural,12326
11,5,Eastern Province,53,Gatsibo,5307,Kiziguro,530701,Agakomeye,53070103,Akingondo,Rural,12334
12,5,Eastern Province,53,Gatsibo,5307,Kiziguro,530701,Agakomeye,53070104,Bishenyi,Rural,12340
13,5,Eastern Province,53,Gatsibo,5307,Kiziguro,530701,Agakomeye,53070105,Bwiza,Rural,12348
14,5,Eastern Province,53,Gatsibo,5307,Kiziguro,530701,Agakomeye,53070106,Isangano,Rural,12356
15,5,Eastern Province,53,Gatsibo,5307,Kiziguro,530701,Agakomeye,53070107,Ishanti,Rural,12364
16,5,Eastern Province,53,Gatsibo,5307,Kiziguro,530701,Agakomeye,53070108,Munanira,Rural,12371
17,5,Eastern Province,53,Gatsibo,5307,Kiziguro,530701,Agakomeye,53070109,Muringa,Rural,12377
18,1,Kigali,11,Nyarugenge,1109,Nyarugenge,110901,Agatare,11090101,Agatare,Urban,8
19,1,Kigali,11,Nyarugenge,1109,Nyarugenge,110901,Agatare,11090102,Amajyambere,Urban,10
20,1,Kigali,11,Nyarugenge,1109,Nyarugenge,110901,Agatare,11090103,Inyambo,Urban,13
21,1,Kigali,11,Nyarugenge,1109,Nyarugenge,110901,Agatare,11090104,Meraneza,Urban,14
22,1,Kigali,11,Nyarugenge,1109,Nyarugenge,110901,Agatare,11090105,Uburezi,Urban,15
23,1,Kigali,11,Nyarugenge,1109,Nyarugenge,110901,Agatare,11090106,Umucyo,Urban,17
24,1,Kigali,11,Nyarugenge,1109,Nyarugenge,110901,Agatare,11090107,Umurava,Urban,18
25,1,Kigali,12,Gasabo,1206,Jali,120601,Agateko,12060101,Bugarama,Rural,610
26,1,Kigali,12,Gasabo,1206,Jali,120601,Agateko,12060102,Bukamba,Urban,616
27,1,Kigali,12,Gasabo,1206,Jali,120601,Agateko,12060103,Byimana,Urban,624
28,1,Kigali,12,Gasabo,1206,Jali,120601,Agateko,12060104,Kabizoza,Urban,632
29,1,Kigali,12,Gasabo,1206,Jali,120601,Agateko,12060105,Kinunga,Urban,640
30,1,Kigali,12,Gasabo,1206,Jali,120601,Agateko,12060106,Urunyinya,Rural,648
31,1,Kigali,12,Gasabo,1206,Jali,120601,Agateko,12060107,Rwankuba,Rural,652
32,1,Kigali,11,Nyarugenge,1101,Gitega,110101,Akabahizi,11010102,Gihanga,Urban,26
33,1,Kigali,11,Nyarugenge,1101,Gitega,110101,Akabahizi,11010103,Iterambere,Urban,30
34,1,Kigali,11,Nyarugenge,1101,Gitega,110101,Akabahizi,11010104,Izuba,Urban,36
35,1,Kigali,11,Nyarugenge,1101,Gitega,110101,Akabahizi,11010105,Nyaburanga,Urban,44
36,1,Kigali,11,Nyarugenge,1101,Gitega,110101,Akabahizi,11010106,Nyenyeri,Urban,50
37,1,Kigali,11,Nyarugenge,1101,Gitega,110101,Akabahizi,11010107,Ubukorikori,Urban,55
38,1,Kigali,11,Nyarugenge,1101,Gitega,110101,Akabahizi,11010108,Ubumwe,Urban,61
39,1,Kigali,11,Nyarugenge,1101,Gitega,110101,Akabahizi,11010109,Ubwiyunge,Urban,67
40,1,Kigali,11,Nyarugenge,1101,Gitega,110101,Akabahizi,11010110,Umucyo,Urban,75
41,1,Kigali,11,Nyarugenge,1101,Gitega,110101,Akabahizi,11010111,Umurabyo,Urban,83
42,1,Kigali,11,Nyarugenge,1101,Gitega,110101,Akabahizi,11010112,Umuseke,Urban,91
43,1,Kigali,11,Nyarugenge,1101,Gitega,110101,Akabahizi,11010113,Vugizo,Urban,98
44,5,Eastern Province,51,Rwamagana,5109,Musha,510901,Akabare,51090103,Budahigwa,Rural,11231
45,5,Eastern Province,51,Rwamagana,5109,Musha,510901,Akabare,51090104,Duha,Rural,11238
46,5,Eastern Province,51,Rwamagana,5109,Musha,510901,Akabare,51090105,Gashikiri,Rural,11243
47,5,Eastern Province,51,Rwamagana,5109,Musha,510901,Akabare,51090106,Rugabano,Rural,11248
48,5,Eastern Province,51,Rwamagana,5109,Musha,510901,Akabare,51090107,Rukombe,Rural,11258
49,5,Eastern Province,51,Rwamagana,5109,Musha,510901,Akabare,51090101,Akabare,Rural,11537
50,5,Eastern Province,51,Rwamagana,5109,Musha,510901,Akabare,51090102,Binunga,Rural,11542
51,1,Kigali,11,Nyarugenge,1101,Gitega,110102,Akabeza,11010201,Akinyambo,Urban,107
52,1,Kigali,11,Nyarugenge,1101,Gitega,110102,Akabeza,11010202,Amayaga,Urban,117
53,1,Kigali,11,Nyarugenge,1101,Gitega,110102,Akabeza,11010203,Gitwa,Urban,123
54,1,Kigali,11,Nyarugenge,1101,Gitega,110102,Akabeza,11010204,Ituze,Urban,132
55,1,Kigali,11,Nyarugenge,1101,Gitega,110102,Akabeza,11010205,Mpazi,Urban,141
56,2,Southern Province,22,Gisagara,2203,Kansi,220301,Akaboti,22030101,Agacyamu,Rural,1665
57,2,Southern Province,22,Gisagara,2203,Kansi,220301,Akaboti,22030102,Agataba,Rural,1675
58,2,Southern Province,22,Gisagara,2203,Kansi,220301,Akaboti,22030103,Akabuga,Rural,1680
59,2,Southern Province,22,Gisagara,2203,Kansi,220301,Akaboti,22030104,Akayenzi,Rural,1685
60,2,Southern Province,22,Gisagara,2203,Kansi,220301,Akaboti,22030105,Gatare,Rural,1694
61,2,Southern Province,22,Gisagara,2203,Kansi,220301,Akaboti,22030106,Impinga,Rural,1702
62,2,Southern Province,22,Gisagara,2203,Kansi,220301,Akaboti,22030107,Rugarama,Rural,1714
63,2,Southern Province,22,Gisagara,2203,Kansi,220301,Akaboti,22030108,Ruhuha,Rural,1722
64,5,Eastern Province,53,Gatsibo,5306,Kiramuruzi,530601,Akabuga,53060101,Akagarama,Rural,12017
65,5,Eastern Province,53,Gatsibo,5306,Kiramuruzi,530601,Akabuga,53060102,Akarambo,Rural,12023
66,5,Eastern Province,53,Gatsibo,5306,Kiramuruzi,530601,Akabuga,53060103,Amataba,Urban,12030
67,5,Eastern Province,53,Gatsibo,5306,Kiramuruzi,530601,Akabuga,53060104,Bushenyi,Rural,12035
68,5,Eastern Province,53,Gatsibo,5306,Kiramuruzi,530601,Akabuga,53060105,Businde,Urban,12042
69,5,Eastern Province,53,Gatsibo,5306,Kiramuruzi,530601,Akabuga,53060106,Kiramuruzi,Urban,12049
70,5,Eastern Province,53,Gatsibo,5306,Kiramuruzi,530601,Akabuga,53060107,Kiyogori,Rural,12055
71,5,Eastern Province,53,Gatsibo,5306,Kiramuruzi,530601,Akabuga,53060108,Nduba,Rural,12060
72,5,Eastern Province,53,Gatsibo,5306,Kiramuruzi,530601,Akabuga,53060109,Ubuhoro,Urban,12068
