,country,province,district,district_id,sector,sector_id,cell,cell_id,village,village_id,name,project_code,type,stage,sub_stage,Individuals_directly_served,span,lat,long,community_served_1,community_served_1_id,community_served_2,community_served_2_id,community_served_3,community_served_3_id,community_served_4,community_served_4_id,community_served_5,community_served_5_id,form,case_safe_id,opportunity_id
0,Rwanda,Western Province,Rusizi,36,Giheke,3605,Gakomeye,360502,Buzi,36050201,Buzi,1014107,Suspended,Rejected,Technical,0,0,-2.42056,28.9662,Buzi,36050201,Kabuga,36050203,Kagarama,36050204,Gacyamo,36050202,Gasheke,?,Project Assessment - 2018.10.29,a1if1000002e51bAAA,006f100000d1fk1
1,Rwanda,Western Province,Rusizi,36,Giheke,3605,Gakomeye,360502,Buzi,36050201,Kamigisha,1014106,Suspended,Rejected,Technical,0,0,-2.42486,28.957259999999998,Kabuga,36050203,Buzi,36050201,Gacyamo - Gasheke,36050202,Kagarama,36050204,Kanoga,?,Project Assessment - 2018.10.29,a1if1000002e51WAAQ,006f100000d1fjw
2,Rwanda,Northern Province,Rulindo,41,Buyoga,4104,Gahororo,410403,Gipfundo,41040304,Gipfundo,1007651,Suspended,Rejected,Technical,0,8,-1.72053,30.08124,Gapfundo,41040304,Rusabira ( Gicumbi),?,Merezo,?,Minanire,?,Karutongo,?,Project Assessment - 2018.8.11,a1if10000025nz8AAA,006f100000a86I3
3,Rwanda,Northern Province,Gicumbi,45,Kageyo,4506,Kabuga-Gatobotobo?,?,?,?,Nyarubande,1012493,Other,Rejected,?,0,0,-1.65595,30.078840000000003,?,?,?,?,?,?,?,?,?,?,Project Assessment - 2018.8.11,a1if10000025nzDAAQ,006f100000cPpL8
4,Rwanda,Southern Province,Kamonyi,28,Kayenzi,2803,Kirwa,280304,Gisizi,28030402,Gisizi,1014318,Suspended,Identified,Requested,0,0,-1.870868,29.877685999999997,Gisizi,28030402,Nyabitare,?,?,?,?,?,?,?,Project Assessment - 2018.11.15,a1if1000002gMwRAAU,006f100000eescb
5,Rwanda,Southern Province,Kamonyi,28,Kayenzi,2803,Kirwa,280304,Ruheka,28030405,Ruheka,1014319,Suspended,Rejected,Technical,0,0,-1.8839569999999999,29.850548,Ruheka,28030405,Kabana,?,?,?,?,?,?,?,Project Assessment - 2018.11.15,a1if1000002gMwqAAE,006f100000eescl
6,Rwanda,Southern Province,Kamonyi,28,Ngamba,2807,Kabuga,280701,Raro,28070106,Raro,1014327,?,Rejected,Technical,0,0,-1.896261,29.951448,Raro,28070106,?,?,?,?,?,?,?,?,Project Assessment - 2018.11.15,a1if1000002gMxUAAU,006f100000eesdZ
7,Rwanda,Southern Province,Kamonyi,28,Karama,2802,Bitare,280201,Kinkeri,28020104,Kinkeri,1014324,?,Rejected,Technical,0,0,-1.977729,29.850108000000002,?,?,?,?,?,?,?,?,?,?,Project Assessment - 2018.11.15,a1if1000002gMxFAAU,006f100000eesdK
8,Rwanda,Southern Province,Kamonyi,28,Karama,2802,Bunyonga,280202,Nyenyeri,28020203,Nyenyeri,1014321,Suspension,Rejected,Technical,0,0,-1.9397369999999998,29.843621999999996,Nyenyeri,28020203,Bunyonga,280202,Kavumu,?,?,?,?,?,Project Assessment - 2018.11.15,a1if1000002gMx0AAE,006f100000eescv
9,Rwanda,Southern Province,Kamonyi,28,Gacurabwenge,2801,Gihinga,280101,Karama,28010103,Karama,1014325,Suspended,Rejected,Technical,0,0,-1.9801259999999998,29.905502000000002,Karama,28010103,Kagarama,28010101,Ryabitana,28010106,Nyarunyinya,28010105,?,?,Project Assessment - 2018.11.15,a1if1000002gMxKAAU,006f100000eesdP
