,country,province,district,district_id,sector,sector_id,cell,cell_id,village,village_id,name,project_code,type,stage,sub_stage,Individuals_directly_served,span,lat,long,community_served_1,community_served_2,community_served_3,community_served_4,community_served_5,form,case_safe_id,opportunity_id,communities_served
0,Rwanda,Western Province,Rusizi,36,Giheke,3605,Gakomeye,360502,Buzi,36050201,Buzi,1014107,Suspended,Rejected,Technical,0,0,-2.42056,28.9662,Buzi,Kabuga,Kagarama,Gacyamo,Gasheke,Project Assessment - 2018.10.29,a1if1000002e51bAAA,006f100000d1fk1,"Buzi, Kabuga, Kagarama, Gacyamo, Gasheke"
1,Rwanda,Western Province,Rusizi,36,Giheke,3605,Gakomeye,360502,Buzi,36050201,Kamigisha,1014106,Suspended,Rejected,Technical,0,0,-2.42486,28.95726,Kabuga,Buzi,Gacyamo - Gasheke,Kagarama,Kanoga,Project Assessment - 2018.10.29,a1if1000002e51WAAQ,006f100000d1fjw,"Kabuga, Buzi, Gacyamo - Gasheke, Kagarama, Kanoga"
2,Rwanda,Northern Province,Rulindo,41,Buyoga,4104,Gahororo,410403,Gipfundo,41040304,Gipfundo,1007651,Suspended,Rejected,Technical,0,8,-1.72053,30.08124,Gapfundo,Rusabira ( Gicumbi),Merezo,Minanire,Karutongo,Project Assessment - 2018.8.11,a1if10000025nz8AAA,006f100000a86I3,"Gapfundo, Rusabira ( Gicumbi), Merezo, Minanire, Karutongo"
3,Rwanda,Northern Province,Gicumbi,45,Kageyo,4506,Kabuga-Gatobotobo?,?,?,?,Nyarubande,1012493,Other,Rejected,?,0,0,-1.65595,30.078840000000003,?,?,?,?,?,Project Assessment - 2018.8.11,a1if10000025nzDAAQ,006f100000cPpL8,
4,Rwanda,Southern Province,Kamonyi,28,Kayenzi,2803,Kirwa,280304,Gisizi,28030402,Gisizi,1014318,Suspended,Identified,Requested,0,0,-1.870868,29.877686,Gisizi,Nyabitare,?,?,?,Project Assessment - 2018.11.15,a1if1000002gMwRAAU,006f100000eescb,"Gisizi, Nyabitare"
5,Rwanda,Southern Province,Kamonyi,28,Kayenzi,2803,Kirwa,280304,Ruheka,28030405,Ruheka,1014319,Suspended,Rejected,Technical,0,0,-1.883957,29.850548,Ruheka,Kabana,?,?,?,Project Assessment - 2018.11.15,a1if1000002gMwqAAE,006f100000eescl,"Ruheka, Kabana"
6,Rwanda,Southern Province,Kamonyi,28,Ngamba,2807,Kabuga,280701,Raro,28070106,Raro,1014327,?,Rejected,Technical,0,0,-1.896261,29.951448,Raro,Kamuhoza( Runda sector),?,?,?,Project Assessment - 2018.11.15,a1if1000002gMxUAAU,006f100000eesdZ,"Raro, Kamuhoza( Runda sector)"
7,Rwanda,Southern Province,Kamonyi,28,Karama,2802,Bitare,280201,Kinkeri,28020104,Kinkeri,1014324,?,Rejected,Technical,0,0,-1.977729,29.850108,Kinkeri( karama sector ),Musambira sector,?,?,?,Project Assessment - 2018.11.15,a1if1000002gMxFAAU,006f100000eesdK,"Kinkeri( karama sector ), Musambira sector"
8,Rwanda,Southern Province,Kamonyi,28,Karama,2802,Bunyonga,280202,Nyenyeri,28020203,Nyenyeri,1014321,Suspension,Rejected,Technical,0,0,-1.939737,29.843622,Nyenyeri,Bunyonga,Kavumu,?,?,Project Assessment - 2018.11.15,a1if1000002gMx0AAE,006f100000eescv,"Nyenyeri, Bunyonga, Kavumu"
9,Rwanda,Southern Province,Kamonyi,28,Gacurabwenge,2801,Gihinga,280101,Karama,28010103,Karama,1014325,Suspended,Rejected,Technical,0,0,-1.980126,29.905502,Karama,Kagarama,Ryabitana,Nyarunyinya,"Gahira cell, karama sector and kayenzi",Project Assessment - 2018.11.15,a1if1000002gMxKAAU,006f100000eesdP,"Karama, Kagarama, Ryabitana, Nyarunyinya, Gahira cell, karama sector and kayenzi"
10,Rwanda,Southern Province,Kamonyi,28,Karama,2802,Bunyonga,280202,Bunyonga,28020201,Bunyonga 2,1014323,?,Rejected,Technical,0,0,-1.939927,29.818313,Bunyonga,Kayumbo sector,?,?,?,Project Assessment - 2018.11.15,a1if1000002gMxAAAU,006f100000eesdA,"Bunyonga, Kayumbo sector"
11,Rwanda,Southern Province,Kamonyi,28,Karama,2802,Bunyonga,280202,Bunyonga,28020201,Bunyonga 1,1014322,Suspended,Identified,Requested,0,54,-1.934919,29.819397,Bunyonga,Nyarurembo,Gaji,?,?,Project Assessment - 2018.11.15,a1if1000002gMx5AAE,006f100000eesd5,"Bunyonga, Nyarurembo, Gaji"
12,Rwanda,Southern Province,Kamonyi,28,Kayenzi,2803,Bugarama,280301,Munyegera,28030102,Munyegera,1014320,Suspension,Rejected,Technical,0,0,-1.915772,29.866533,Bugarama cell,Kayonza cell,Mataba cell,Muganza cell,?,Project Assessment - 2018.11.15,a1if1000002gMwvAAE,006f100000eescq,"Bugarama cell, Kayonza cell, Mataba cell, Muganza cell"
13,Rwanda,Southern Province,Kamonyi,28,Gacurabwenge,2801,Kigembe,280103,Rugobagoba,28010306,Rugobagoba,1014326,Suspension,Rejected,Technical,0,0,-2.001263,29.888983000000003,Rugobagoba,Rubona,?,?,?,Project Assessment - 2018.11.15,a1if1000002gMxPAAU,006f100000eesdU,"Rugobagoba, Rubona"
14,Rwanda,Southern Province,Kamonyi,28,Gacurabwenge,2801,Gihinga,280101,Kagarama,28010101,Kagarama,1014328,Suspension,Rejected,Technical,0,0,-1.984548,29.931428000000004,Kagarama,Ryabitana,Karama,Rugogwe,Karehe,Project Assessment - 2018.11.16,a1if1000002gMyAAAU,006f100000eesiP,"Kagarama, Ryabitana, Karama, Rugogwe, Karehe"
15,Rwanda,Southern Province,Kamonyi,28,Ngamba,2807,Kabuga,280701,Fukwe,28070102,Kabuga (Fukwe),1014329,Suspension,Rejected,Technical,0,0,-1.872181,29.92942,Kabuga cell,Kijabago cell,?,?,?,Project Assessment - 2018.11.16,a1if1000002gMyFAAU,006f100000eesiU,"Kabuga cell, Kijabago cell"
16,Rwanda,Southern Province,Kamonyi,28,Rukoma,2811,Gishyeshye,281103,Rubare,28110305,Rubare,1014331,?,Rejected,Technical,0,0,-1.908306,29.881692,Rubare,?,?,?,?,Project Assessment - 2018.11.16,a1if1000002gMyPAAU,006f100000eesie,Rubare
17,Rwanda,Southern Province,Kamonyi,28,Rukoma,2811,Murehe,281104,Rushikiri,28110404,Rushikiri,1014330,Suspended,Identified,Requested,0,0,-1.937733,29.9489,Entire cell of Murehe,Kabagesera,Gihara,?,?,Project Assessment - 2018.11.16,a1if1000002gMyKAAU,006f100000eesiZ,"Entire cell of Murehe, Kabagesera, Gihara"
18,Rwanda,Kigali,Gasabo,12,Rutunga,1215,Gasabo-Murdi?,?,?,?,Irayirayi,1014594,Suspension,Rejected,Technical,0,0,-1.7801900000000002,30.14043,Rutare,Rutunga,?,?,?,Project Assessment - 2018.11.30,a1if1000002hR2SAAU,006f100000efHAC,"Rutare, Rutunga"
19,Rwanda,Kigali,Gasabo,12,Gikomero,1203,Kibara,120303,Kibobo,12030303,Kibobo-Rwingeyo,1014613,Suspended,Rejected,Technical,0,0,-1.864099,30.233290000000004,Kibobo,Gasharu,Nombe,Rwingeyo,Gasagara-Rugwiza,Project Assessment - 2018.11.30,a1if1000002hRNLAA2,006f100000efHCD,"Kibobo, Gasharu, Nombe, Rwingeyo, Gasagara-Rugwiza"
20,Rwanda,Kigali,Gasabo,12,Shyorongi-Jari,1206,Bugaragara-Nkusi?,120604,?,?,Kiziranyenzi,1007653,Suspended,Rejected,Technical,0,32,-1.848168,29.991187,Nkusi,Bugaragara,Munyarwanda,?,?,Project Assessment - 2018.11.30,a1if1000002hROYAA2,006f100000a86I5,"Nkusi, Bugaragara, Munyarwanda"
21,Rwanda,Southern Province,Gisagara,22,Gikonko-Musha,2210,Gasagara-Gatovu,221002,Ryamugunga,22100210,Akarukambira,1013578,Suspension,Rejected,Technical,0,0,-2.4855,29.84336,Akarukambira,Agasenyi,Ryamugunga,Agahabwa,?,Project Assessment - 2018.9.23,a1if1000002YQiWAAW,006f100000d7bAg,"Akarukambira, Agasenyi, Ryamugunga, Agahabwa"
22,Rwanda,Eastern Province,Kirehe,55,Gahara,5501,Butezi,550101,Rwabiyombe,55010111,Rwabiyombi~ kijumbura 2,1014466,?,Rejected,Technical,0,0,-2.365716,30.542117,Butezi,?,?,?,?,Project Assessment - 2018.11.24,a1if1000002h7GGAAY,006f100000ef6y2,Butezi
23,Rwanda,Eastern Province,Rwamagana,51,Fumbwe,5101,Nyagasambu,510102,Rebero,51010203,Rebero,1014605,?,Rejected,Technical,0,0,-1.893193,30.280679,Rebero,?,?,?,?,Project Assessment - 2018.11.30,a1if1000002hRF2AAM,006f100000efHBA,Rebero
24,Rwanda,Eastern Province,Rwamagana,51,Kigabiro,5105,Sovu,510505,Rugobagoba,51050505,Rugobagoba,1014461,Suspension,Rejected,Technical,0,0,-2.02333,30.43209,Rugobagoba,Nyabishunzi,Cyaruhogo,Kabazeye,Kinganzwa,Project Assessment - 2018.11.24,a1if1000002h7FrAAI,006f100000ef6xd,"Rugobagoba, Nyabishunzi, Cyaruhogo, Kabazeye, Kinganzwa"
25,Rwanda,Eastern Province,Kirehe,55,Mushikiri,5509,Rugarama,550903,Nyagatugunda,55090310,Tomi,1014470,?,Rejected,Technical,320,0,-2.1496,30.66541,Nyagatugunda,?,?,?,?,Project Assessment - 2018.11.24,a1if1000002h7GaAAI,006f100000ef6yR,Nyagatugunda
26,Rwanda,Eastern Province,Rwamagana,51,Gahengeri-Mwurire,5102,Kagezi-Ntunga,510202,Kabonero,51020202,Kabonero,1014611,Suspension,Rejected,Technical,0,0,-1.965611,30.337764,Kabonero,Akabuga,Gihumuza,Rugenge,Nkira-kadasumbwa,Project Assessment - 2018.11.30,a1if1000002hRLAAA2,006f100000efHBo,"Kabonero, Akabuga, Gihumuza, Rugenge, Nkira-kadasumbwa"
27,Rwanda,Eastern Province,Rwamagana,51,Muyumbu,5110,Nyarukombe,511005,Marembo,51100505,Marembo,1014616,Suspension,Rejected,Technical,0,0,-1.970761,30.232989,Nyarukombe cell,?,?,?,?,Project Assessment - 2018.11.30,a1if1000002hRVAAA2,006f100000efHCc,Nyarukombe cell
28,Rwanda,Eastern Province,Gatsibo,53,Remera-Rugarama,5313,Bushobora-Bugarama?,531301,?,?,Kagarama2,1014604,?,Rejected,Technical,0,0,-1.7196349999999998,30.366374,Bushobora,Bugarama,?,?,?,Project Assessment - 2018.11.30,a1if1000002hREYAA2,006f100000efHB5,"Bushobora, Bugarama"
29,Rwanda,Eastern Province,Bugesera,57,Musenyi,5706,Nyagihunika,570603,Nyakajuri,57060306,Nyakajuri,1014599,?,Rejected,Technical,0,0,-2.22393,30.07617,Nyakajuri,?,?,?,?,Project Assessment - 2018.11.30,a1if1000002hR99AAE,006f100000efHAg,Nyakajuri
30,Rwanda,Eastern Province,Rwamagana,51,Kigabiro,5105,Sovu,510505,Gatare,51050502,Kwanyiramanyana,1014463,Suspension,Rejected,Technical,0,0,-2.009512,30.421038,Kiruhura,Gatare,Kabuya,?,?,Project Assessment - 2018.11.24,a1if1000002h7G1AAI,006f100000ef6xn,"Kiruhura, Gatare, Kabuya"
31,Rwanda,Eastern Province,Bugesera,57,Musenyi,5706,Nyagihunika,570603,Rugarama,57060307,Rugarama/mbonwa,1014596,Suspension,Rejected,Technical,0,0,-2.22306,30.056,Rugarama,Mbonwa,?,?,?,Project Assessment - 2018.11.30,a1if1000002hR5HAAU,006f100000efHAR,"Rugarama, Mbonwa"
32,Rwanda,Kigali,Gasabo,12,Rutunga,1215,Gasabo-Murdi?,?,?,?,Kabarebe,1014595,Suspension,Rejected,Technical,0,0,-1.79011,30.13083,Rutunga,Ntarabana,?,?,?,Project Assessment - 2018.11.30,a1if1000002hR3uAAE,006f100000efHAH,"Rutunga, Ntarabana"
33,Rwanda,Eastern Province,Bugesera,57,Ruhuha,5713,Ruhuha,571305,Nyabaranga,57130503,Nyabaranga,1014600,?,Rejected,Technical,0,0,-2.29153,30.05912,Nyaburanga,?,?,?,?,Project Assessment - 2018.11.30,a1if1000002hR9dAAE,006f100000efHAl,Nyaburanga
34,Rwanda,Eastern Province,Bugesera,57,Musenyi,5706,Nyagihunika,570603,Rugarama,57060307,Nyakajuri,1014598,?,Rejected,Technical,0,0,-2.2052400000000003,30.078640000000004,Rugarama,?,?,?,?,Project Assessment - 2018.11.30,a1if1000002hR86AAE,006f100000efHAb,Rugarama
35,Rwanda,Eastern Province,Rwamagana,51,Muyumbu,5110,Nyarukombe,511005,Kinunga,51100504,Kinunga,1014606,?,Rejected,Technical,0,0,-1.989138,30.263844,Kinunga,?,?,?,?,Project Assessment - 2018.11.30,a1if1000002hRFCAA2,006f100000efHBF,Kinunga
36,Rwanda,Eastern Province,Kirehe,55,Gahara,5501,Butezi?,550101,?,?,Butezi,1014467,?,Rejected,Technical,0,0,-2.371645,30.539508,Butezi,?,?,?,?,Project Assessment - 2018.11.24,a1if1000002h7GLAAY,006f100000ef6y7,Butezi
37,Rwanda,Eastern Province,Kirehe,55,Mushikiri,5509,Rwayikona,550905,Rwayikona,55090512,Rwayikona,1014474,Suspension,Rejected,Technical,0,0,-2.164154,30.695954,Rwayikona,"Sangano,rwabandama",Tonero,"Karenge 1& 2, gashasha",?,Project Assessment - 2018.11.24,a1if1000002h7GuAAI,006f100000ef6yl,"Rwayikona, Sangano,rwabandama, Tonero, Karenge 1& 2, gashasha"
38,Rwanda,Eastern Province,Gatsibo,53,Remera-Rugarama,5313,Bushobora-Remera,531306,Rwamivu,53130605,Akamabuye,1014603,Suspension,Rejected,Technical,0,0,-1.713697,30.358427,Akamabuye,Kagarama,Rwamivu,?,?,Project Assessment - 2018.11.30,a1if1000002hREJAA2,006f100000efHB0,"Akamabuye, Kagarama, Rwamivu"
39,Rwanda,Eastern Province,Rwamagana,51,Gahengeri-Fumbwe,5101,Runyya-Nyagasambu,510102,Rebero,51010203,Cyeru,1014612,Suspension,Rejected,Technical,0,0,-1.896111,30.278146000000003,Cyeru,Kamasasa-Kabarore,Ruyumba-Ryamuzuka,Rebero-Nyakagunga,Kirehe-Kabeza,Project Assessment - 2018.11.30,a1if1000002hRN1AAM,006f100000efHC3,"Cyeru, Kamasasa-Kabarore, Ruyumba-Ryamuzuka, Rebero-Nyakagunga, Kirehe-Kabeza"
