Country,Province,District,Sector,Cell,Bridge Site Name,Project Stage,Project Sub-Stage,Project Code,Bridge Type, Span (m), GPS (Latitude),GPS (Longitude),Individuals Directly Served,Form: Form Name,Community Served 1,Community Served 2,Community Served 3,Community Served 4,Community Served 5,Community Served 6,Community Served 7,Community Served 8,Community Served 9,Community Served 10,CaseSafeID Form,Bridge Opportunity: Opportunity ID
Rwanda,Western Province,Rusizi,Giheke,Gakomeye,Buzi,Rejected,Technical,1014107,Suspended,,-2.42056,28.9662,,Project Assessment - 2018.10.29,Buzi,Kabuga,Kagarama,Gacyamo,Gasheke,,,,,,a1if1000002e51bAAA,006f100000d1fk1
Rwanda,Western Province,Rusizi,Giheke,Gakomeye,Kamigisha,Rejected,Technical,1014106,Suspended,,-2.42486,28.95726,,Project Assessment - 2018.10.29,Kabuga,Buzi,Gacyamo - Gasheke,Kagarama,Kanoga,,,,,,a1if1000002e51WAAQ,006f100000d1fjw
Rwanda,Northern Province,Rulindo,Buyoga,Gahororo-Gipfundo,Gipfundo,Rejected,Technical,1007651,Suspended,8,-1.72053,30.08124,,Project Assessment - 2018.8.11,Gapfundo,Rusabira ( Gicumbi),Merezo,Minanire,Karutongo,,,,,,a1if10000025nz8AAA,006f100000a86I3
Rwanda,Northern Province,Gicumbi,Kageyo,Kabuga/gatobotobo,Nyarubande,Rejected,,1012493,Other,,-1.65595,30.07884,,Project Assessment - 2018.8.11,,,,,,,,,,,a1if10000025nzDAAQ,006f100000cPpL8
Rwanda,Southern Province,Kamonyi,Kayenzi,Kirwa,Gisizi,Identified,Requested,1014318,Suspended,,-1.870868,29.877686,,Project Assessment - 2018.11.15,Gisizi,Nyabitare,,,,,,,,,a1if1000002gMwRAAU,006f100000eescb
Rwanda,Southern Province,Kamonyi,Kayenzi,Kirwa,Ruheka,Rejected,Technical,1014319,Suspended,,-1.883957,29.850548,,Project Assessment - 2018.11.15,Ruheka,Kabana,,,,,,,,,a1if1000002gMwqAAE,006f100000eescl
Rwanda,Southern Province,Kamonyi,Ngamba,Kabuga,Raro,Rejected,Technical,1014327,,,-1.896261,29.951448,,Project Assessment - 2018.11.15,Raro,Kamuhoza( Runda sector),,,,,,,,,a1if1000002gMxUAAU,006f100000eesdZ
Rwanda,Southern Province,Kamonyi,Karama,Bitare,Kinkeri,Rejected,Technical,1014324,,,-1.977729,29.850108,,Project Assessment - 2018.11.15,Kinkeri( karama sector ),Musambira sector,,,,,,,,,a1if1000002gMxFAAU,006f100000eesdK
Rwanda,Southern Province,Kamonyi,Karama,Bunyonga,Nyenyeri,Rejected,Technical,1014321,Suspension,,-1.939737,29.843622,,Project Assessment - 2018.11.15,Nyenyeri,Bunyonga,Kavumu,,,,,,,,a1if1000002gMx0AAE,006f100000eescv
Rwanda,Southern Province,Kamonyi,Gacurabwenge,Gihinga,Karama,Rejected,Technical,1014325,Suspended,,-1.980126,29.905502,,Project Assessment - 2018.11.15,Karama,Kagarama,Ryabitana,Nyarunyinya,"Gahira cell, karama sector and kayenzi",,,,,,a1if1000002gMxKAAU,006f100000eesdP
Rwanda,Southern Province,Kamonyi,Karama,Bunyonga,Bunyonga 2,Rejected,Technical,1014323,,,-1.939927,29.818313,,Project Assessment - 2018.11.15,Bunyonga,Kayumbo sector,,,,,,,,,a1if1000002gMxAAAU,006f100000eesdA
Rwanda,Southern Province,Kamonyi,Karama,Bunyonga,Bunyonga 1,Identified,Requested,1014322,Suspended,54,-1.934919,29.819397,,Project Assessment - 2018.11.15,Bunyonga,Nyarurembo,Gaji,,,,,,,,a1if1000002gMx5AAE,006f100000eesd5
Rwanda,Southern Province,Kamonyi,Kayenzi,Bugarama,Munyegera,Rejected,Technical,1014320,Suspension,,-1.915772,29.866533,,Project Assessment - 2018.11.15,Bugarama cell,Kayonza cell,Mataba cell,Muganza cell,,,,,,,a1if1000002gMwvAAE,006f100000eescq
Rwanda,Southern Province,Kamonyi,Gacurabwenge,Kigembe,Rugobagoba,Rejected,Technical,1014326,Suspension,,-2.001263,29.888983,,Project Assessment - 2018.11.15,Rugobagoba,Rubona,,,,,,,,,a1if1000002gMxPAAU,006f100000eesdU
Rwanda,Southern Province,Kamonyi,Gacurabwenge,Gihinga,Kagarama,Rejected,Technical,1014328,Suspension,,-1.984548,29.931428,,Project Assessment - 2018.11.16,Kagarama,Ryabitana,Karama,Rugogwe,Karehe,,,,,,a1if1000002gMyAAAU,006f100000eesiP
Rwanda,Southern Province,Kamonyi,Ngamba,Kabuga,Kabuga (Fukwe),Rejected,Technical,1014329,Suspension,,-1.872181,29.92942,,Project Assessment - 2018.11.16,Kabuga cell,Kijabago cell,,,,,,,,,a1if1000002gMyFAAU,006f100000eesiU
Rwanda,Southern Province,Kamonyi,Rukoma,Gishyeshye,Rubare,Rejected,Technical,1014331,,,-1.908306,29.881692,,Project Assessment - 2018.11.16,Rubare,,,,,,,,,,a1if1000002gMyPAAU,006f100000eesie
Rwanda,Southern Province,Kamonyi,Rukoma,Murehe,Rushikiri,Identified,Requested,1014330,Suspended,,-1.937733,29.9489,,Project Assessment - 2018.11.16,Entire cell of Murehe,Kabagesera,Gihara,,,,,,,,a1if1000002gMyKAAU,006f100000eesiZ
Rwanda,Kigali,Gasabo,Rutunga,Gasabo/murindi,Irayirayi,Rejected,Technical,1014594,Suspension,,-1.78019,30.14043,,Project Assessment - 2018.11.30,Rutare,Rutunga,,,,,,,,,a1if1000002hR2SAAU,006f100000efHAC
